40,41,30
40,30,36
40,36,51
66,62,40
66,40,51
66,51,61
66,61,75
66,75,83
66,83,88
66,88,77
66,77,62
40,62,41
59,42,41
59,41,62
59,62,77
70,59,77
87,70,77
87,77,88
112,87,88
111,112,88
111,88,99
111,99,119
111,119,132
111,132,112
129,142,133
129,133,112
129,112,132
129,132,142
110,112,133
110,133,139
117,134,124
117,124,105
117,105,106
116,117,106
116,106,110
116,110,139
110,106,89
110,89,87
110,87,112
87,89,70
86,69,70
86,70,89
86,89,106
85,86,106
85,106,105
96,85,105
96,105,124
102,96,124
102,124,121
102,108,95
102,95,96
96,95,76
96,76,85
85,76,69
85,69,86
58,69,76
54,38,47
53,54,47
53,47,58
53,58,76
53,76,79
53,79,54
80,67,54
80,54,79
80,79,95
80,95,108
80,108,94
80,94,67
54,67,38
58,47,23
58,23,49
57,58,49
56,57,49
39,56,49
39,49,21
39,21,42
55,39,42
55,42,59
55,59,70
55,70,56
55,56,39
56,70,69
56,69,57
57,69,58
41,42,20
21,49,22
22,49,23
23,47,24
24,47,25
38,25,47
38,67,44
38,44,26
38,26,25
27,44,43
72,73,50
72,50,64
71,72,64
67,71,64
44,67,64
67,94,71
101,123,107
101,107,93
101,93,71
101,71,94
109,101,94
109,94,108
109,123,101
71,93,72
72,93,92
72,92,73
73,92,81
81,92,98
98,92,104
104,92,93
104,93,107
104,107,127
104,127,122
127,107,123
144,131,127
144,127,154
144,154,167
144,167,169
144,169,157
144,157,145
144,145,131
157,169,181
157,181,174
174,181,189
188,189,181
183,188,181
183,181,167
183,167,171
183,171,190
183,190,198
183,198,203
183,203,188
188,203,202
188,202,189
204,220,226
204,226,211
211,226,225
226,229,243
226,243,237
226,220,229
224,229,220
224,219,239
224,239,250
224,250,229
229,250,243
252,243,250
265,252,250
265,250,239
265,239,258
252,278,256
252,256,243
243,256,237
237,256,253
253,256,273
273,256,278
278,293,282
326,321,335
327,307,315
316,317,337
316,337,328
316,303,317
317,303,288
317,288,287
317,287,320
317,320,330
317,330,337
337,330,349
337,349,350
337,350,328
328,350,351
266,258,246
266,246,245
246,239,227
246,227,231
246,258,239
239,219,227
210,227,219
203,210,219
203,198,210
210,198,205
205,198,190
190,171,180
190,180,191
191,180,176
181,169,167
166,165,176
79,76,95
124,135,136
124,136,121
124,134,135
139,133,152
172,163,161
182,172,161
182,161,158
182,158,184
200,182,184
200,184,216
200,216,218
200,218,207
185,182,200
185,200,207
196,199,221
196,194,179
196,179,193
196,193,199
199,193,185
199,185,207
212,199,207
212,207,218
212,218,232
212,232,234
212,234,221
212,221,199
185,193,172
185,172,182
172,193,179
172,179,163
179,194,178
179,178,162
179,162,152
179,152,163
142,163,152
142,152,133
142,132,158
142,158,161
142,161,163
234,232,249
298,287,286
297,298,286
297,286,285
311,304,318
325,311,318
332,325,318
331,332,318
331,318,319
324,331,319
310,324,319
310,319,296
310,296,302
310,302,308
310,308,322
310,322,324
324,322,338
324,338,342
324,342,331
331,342,343
331,343,344
331,344,332
332,344,345
332,345,325
325,345,346
325,346,329
325,329,311
311,329,312
311,312,297
311,297,285
311,285,304
333,312,329
333,329,348
333,348,349
333,349,330
333,330,320
333,320,312
312,320,298
312,298,297
298,320,287
162,178,159
88,83,99
132,119,150
233,218,216
233,216,247
291,304,285
291,289,304
242,260,249
242,249,232
242,232,233
241,242,233
241,233,247
241,247,254
241,254,255
241,255,242
242,255,260
290,255,274
290,274,284
290,284,302
296,289,290
296,290,302
296,319,318
296,318,304
296,304,289
255,254,274
329,346,347
329,347,348
192,217,175
160,192,175
160,175,151
63,68,52
48,32,31
48,31,34
48,34,46
65,48,46
302,284,301
302,301,308
233,232,218
158,132,150
158,150,184
30,16,17
30,17,29
30,29,36
34,33,46
34,31,5
34,5,6
34,6,33
35,33,6
35,6,7
32,2,3
32,3,4
32,4,31
31,4,5
357,358,340
357,340,339
341,342,338
